站號|站名|海拔高度(M)|經度|緯度|城市|地址|資料起始日期|撤站日期|備註|原站號|新站號
C1U680|冬山|22|121.7935|24.632352|宜蘭縣|冬山鄉南興村照安路26號(冬山國民中學內)|1996-01-01|2010-06-30|因擴充為氣象站，於2010-7-1升級為(C0U680)站。||C0U680
C1U700|土場|370|121.4971|24.572378|宜蘭縣|大同鄉太平山遊樂區售票口前方250公尺路旁|1996-01-01|2009-10-06|||
C1V180|大寮|24|120.432|22.610011|高雄市|大寮區琉球里農場路12-1號(大寮農場)|1992-05-01|2013-06-13|||
C1V210|復興|700|120.8059|23.222405|高雄市|桃源區復興里復興巷1鄰15號|1992-05-01|2013-03-08|因擴充為氣象站，於2013-3-18升級為(C0V210)站，於2013-4-18完成驗收。||C0V210
C1V230|高中|731|120.7167|23.134911|高雄市|桃源區高中里|1992-05-01|2013-03-11|因儀器汰換，於2013-4-18更變為(C1V231)站。||C1V231
C1V240|新發|470|120.6601|23.052147|高雄市|六龜區荖濃里2鄰水冬瓜44號旁|1992-05-01|2013-09-27|||
C1V260|月眉|112|120.5398|22.971308|高雄市|杉林區月眉里山仙路1號月眉農場(杉林區月眉段2181號)|1992-05-01|2013-07-31|因擴充為氣象站，於2013-8-1升級為(C0V260)站。||C0V260
C1V270|溪南|1792|120.8064|23.075994|高雄市|桃源區荖濃溪事業區54林班地(籐枝山遊樂區右邊往林道車程約45分鐘)|1992-05-01|2013-10-23|||
C1V280|藤枝|1533|120.7542|23.074883|高雄市|桃源區|1992-05-01|1995-08-15|||
C1V290|新集|1166|120.7939|23.035158|高雄市|桃源區荖濃溪事業區34林班地(藤枝山遊樂區往下500公尺車程約2小時)|1992-05-01|2013-07-31|||
C1V320|吉東|95|120.5572|22.841178|高雄市|美濃區獅山里21鄰獅山街37號(高美大橋堤防邊)|1992-05-01|2013-05-16|||
C1V330|旗山|63|120.4943|22.877672|高雄市|旗山區糖廠里忠孝街33號旗山糖廠(旗尾段2052號)|1992-05-01|2013-06-06|||
C1V350|溪埔|36|120.4468|22.738578|高雄市|大樹區溪埔里之台21線285k-286k間|1992-05-01|2013-08-10|因擴充為氣象站，於2013-12-1升級為(C0V350)站。||C0V350
C1V360|木柵|94|120.4668|22.975481|高雄市|內門區木柵里木柵3號(木柵國民小學)|1992-05-01|2013-09-16|因擴充為氣象站，於2013-12-1升級為(C0V360)站，站名更變為內門。||C0V360
